
> ke-wedding-website@1.0.0 dev
> node "./node_modules/next/dist/bin/next" dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local

✓ Starting...
 GET /meet-the-couple 200 in 29ms (compile: 3ms, render: 26ms)
✓ Compiled in 199ms
 GET /meet-the-couple 200 in 184ms (compile: 134ms, render: 49ms)
 GET /meet-the-couple 200 in 192ms (compile: 129ms, render: 63ms)
 GET /meet-the-couple 200 in 188ms (compile: 132ms, render: 57ms)
 GET /wedding-party 200 in 34ms (compile: 5ms, render: 29ms)
✓ Compiled in 96ms
 GET /wedding-party 200 in 710ms (compile: 388ms, render: 322ms)
✓ Compiled in 44ms
 GET /wedding-party 200 in 182ms (compile: 98ms, render: 83ms)
✓ Compiled in 43ms
 GET /wedding-party 200 in 174ms (compile: 113ms, render: 62ms)
 GET /wedding-party 200 in 157ms (compile: 99ms, render: 58ms)
 GET /wedding-party 200 in 186ms (compile: 117ms, render: 69ms)
✓ Compiled in 37ms
 GET /wedding-party 200 in 148ms (compile: 95ms, render: 53ms)
✓ Compiled in 36ms
 GET /wedding-party 200 in 182ms (compile: 117ms, render: 65ms)
 GET /wedding-party 200 in 189ms (compile: 102ms, render: 87ms)
 GET /wedding-party 200 in 189ms (compile: 114ms, render: 76ms)
 GET /wedding-party 200 in 65ms (compile: 8ms, render: 57ms)
 GET /wedding-party 200 in 210ms (compile: 134ms, render: 76ms)
 GET /wedding-party 200 in 177ms (compile: 117ms, render: 61ms)
 GET /wedding-party 200 in 176ms (compile: 123ms, render: 52ms)
 GET /wedding-party 200 in 197ms (compile: 122ms, render: 75ms)
 GET /wedding-party 200 in 186ms (compile: 120ms, render: 67ms)
✓ Compiled in 37ms
 GET /wedding-party 200 in 151ms (compile: 96ms, render: 55ms)
 GET /wedding-party 200 in 167ms (compile: 109ms, render: 58ms)
 GET /wedding-party 200 in 189ms (compile: 121ms, render: 67ms)
 GET /wedding-party 200 in 250ms (compile: 4ms, render: 247ms)
 GET /api/wedding-image?name=logo.png 200 in 21ms (compile: 5ms, render: 15ms)
 GET /api/wedding-image?name=logo.png&v=1772389159594.0342 200 in 12ms (compile: 3ms, render: 8ms)
 GET /wedding-party 200 in 170ms (compile: 99ms, render: 71ms)
 GET /wedding-party 200 in 149ms (compile: 100ms, render: 49ms)
 GET /wedding-party 200 in 157ms (compile: 92ms, render: 64ms)
 GET /wedding-party 200 in 139ms (compile: 84ms, render: 55ms)
 GET /wedding-party 200 in 172ms (compile: 109ms, render: 63ms)
 GET /wedding-party 200 in 188ms (compile: 124ms, render: 64ms)
 GET /wedding-party 200 in 163ms (compile: 112ms, render: 51ms)
 GET /wedding-party 200 in 152ms (compile: 97ms, render: 55ms)
 GET /wedding-party 200 in 156ms (compile: 92ms, render: 64ms)
✓ Compiled in 27ms
 GET /wedding-party 200 in 159ms (compile: 93ms, render: 66ms)
 GET /wedding-party 200 in 155ms (compile: 90ms, render: 64ms)
 GET /wedding-party 200 in 188ms (compile: 127ms, render: 62ms)
 GET /wedding-party 200 in 155ms (compile: 98ms, render: 57ms)
 GET /wedding-party 200 in 161ms (compile: 111ms, render: 50ms)
 GET /wedding-party 200 in 172ms (compile: 119ms, render: 53ms)
✓ Compiled in 29ms
 GET /wedding-party 200 in 154ms (compile: 92ms, render: 62ms)
 GET /wedding-party 200 in 144ms (compile: 95ms, render: 49ms)
 GET /wedding-party 200 in 180ms (compile: 115ms, render: 65ms)
 GET /qa 200 in 62ms (compile: 10ms, render: 52ms)
 GET /rsvp 200 in 37ms (compile: 8ms, render: 29ms)
